,Median Age by Sex,Total Population,Male,Female,Never Married,Now Married,Widowed,Divorced,"12th Grade, No Diploma",High School Diploma,GED,Some College <1 Year,Some College >1 Year,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate,Median Income,Population Below Poverty Line,Total Income 10k(%),Total Income 10k-15k(%),Total Income 15k-25k(%),Total Income 25k-35k(%),Total Income 35k-50(%),Total Income 50k-75k(%),Total Income 75k-100k(%),Total Income 100k-150k(%),Total Income 150k-200k(%),Total Income >200k(%),Poverty Rate (%),Degree Percentage (%),POC Population (%),White Population (%),Black/African American Population (%),Asian Population (%),Hawaiian/Pacific Islander Population (%),American Indian/Alaskan Population (%),Some Other Race Population (%),Two or More Races Population (%),Disabled Population (%)
2747,35.4,11816,6456,5360,6151,3605,645,784,75,1956,529,474,1359,461,595,151,65,0,42694,2464,9.7,4.2,10.6,8.7,21.1,16.3,8.7,9.3,7.8,3.7,20.85308056872038,6.8635748138117805,36.52674339878131,63.47325660121869,4.51929587,0.2031144211238998,0.0,0.3300609343263371,4.019972918077183,27.45429925524712,13.10934326
2748,48.8,1439,773,666,756,458,104,141,6,338,76,111,156,64,161,50,0,4,55221,201,5.4,4.3,8.2,18.9,8.8,22.7,11.8,13.4,3.5,3.1,13.968033356497568,14.940931202223767,7.574704656011119,92.42529534398888,0.2084781097984711,0.4169562195969423,0.0,0.0,0.7644197359277276,6.184850590687978,14.871438498957607
2749,34.4,31301,15601,15700,16100,10136,1272,2061,510,6181,1073,1032,2321,1485,2095,712,115,60,57634,5674,6.4,4.5,10.0,12.0,12.5,17.0,14.9,14.3,4.9,3.6,18.127216382863168,9.526852177246733,39.29906392767004,60.70093607232996,9.600332257755344,1.316251876936839,0.0,0.5367240663237597,14.68643174339478,13.159323983259322,12.94527331395163
2750,35.0,119276,59736,59540,64808,37433,5087,11983,1332,17468,4491,6419,13852,5704,12655,4821,868,708,67215,13332,4.6,3.6,8.2,8.8,13.0,18.1,15.0,17.6,5.9,5.3,11.17743720446695,15.973037325195344,26.857875850967503,73.06499211911868,3.936248700492975,1.3145980750528186,0.07713203,0.5466313424326771,6.060733089640833,14.99966464,13.65739964452195
2751,35.1,1289054,658063,630991,752096,449753,33636,107181,11464,110386,24515,43400,105199,50383,301552,131365,30328,21723,92731,142451,4.8,2.5,4.4,5.2,8.8,15.1,12.6,18.2,11.2,17.2,11.050817110842525,37.622008077241134,36.81692156,63.13381751268759,8.304927489461264,7.205283875,0.049260931,0.7747541995913283,8.669535954273444,11.862420038260616,8.961843336
2752,50.1,13735,6786,6949,7253,4388,1039,1620,124,3102,781,1074,1523,663,1130,272,79,0,51165,1925,6.3,6.6,9.5,10.7,15.9,18.3,10.1,13.5,4.8,4.2,14.015289406625408,10.782672005824535,18.64579541317801,81.35420459,8.387331634510375,0.123771386967601,0.0,0.1601747360757189,4.441208591,5.533309064433928,22.948671277757555
2753,42.6,19962,10828,9134,10677,6566,1248,2322,164,4899,1122,1268,2045,711,1256,536,55,48,50898,3184,6.2,6.5,8.7,11.9,15.9,16.0,10.5,16.0,5.4,3.0,15.950305580603146,9.49303676986274,18.27472197174632,81.72527802825368,10.55505460374712,0.7514277126540427,0.0,0.1502855425308085,1.337541328524196,5.480412784290151,22.51778378919948
2754,40.9,41261,20514,20747,21647,12878,2583,4103,639,7389,1959,3322,4201,2788,3463,1100,199,52,60456,5900,5.0,6.4,9.2,9.0,12.7,17.7,12.0,16.1,7.0,5.0,14.299217178449384,11.66719177916192,16.087831123821527,83.85157897287996,7.491335643828312,0.5162259761033422,0.060589903,0.1357213833886721,2.2394028259130896,5.705145295,19.70383655267686
2755,39.9,3284,1640,1644,1542,949,159,307,10,841,121,113,301,145,148,64,0,0,55284,655,6.5,7.2,13.6,6.9,12.3,17.2,10.1,16.4,6.6,3.2,19.94518879415347,6.455542021924482,56.54689403166869,43.45310597,2.192448233861145,1.1266747868453104,0.0,0.6394640682095006,47.259439707673565,5.328867235079172,9.987819732034104
2756,34.2,24833,12409,12424,13882,7076,1166,2042,337,3165,1037,1266,2023,1344,2200,550,92,114,55000,5791,6.8,7.6,15.3,7.8,10.4,20.3,14.1,9.2,3.3,5.3,23.31977610437724,11.903515483429308,23.04192002577216,76.95807997422784,1.1436395119397575,1.840293158297427,0.0,0.6000080537993798,7.908830991020014,11.54914831071558,19.15998872468087
2757,31.7,47693,24643,23050,23616,15013,2780,3433,721,5901,2006,2103,2903,2464,3516,1727,423,171,57250,7418,6.3,7.8,8.3,10.4,11.8,18.0,10.9,17.3,6.4,2.7,15.55364518902145,12.238693309290673,27.570083660075905,72.41943262113936,1.2265950978130964,0.6499905646530938,0.0104837187847273,0.402574801,8.789549829115384,16.50137337,12.811104354936784
2758,42.0,60053,29603,30450,30738,19757,3908,5666,975,11601,2296,4331,7114,3446,5096,1693,189,152,62334,7760,4.5,5.2,8.9,10.2,12.1,17.2,12.2,16.6,6.8,6.3,12.921918971575108,11.872845653006513,10.029473964664549,89.94887849066657,2.7758813048473847,0.4829067656903069,0.0216475446688758,0.404642566,2.3529215859324264,4.013121742460826,15.114981766106606
2759,36.3,91209,44940,46269,48974,28834,4605,7625,1354,14758,3332,4497,10217,5815,8322,2117,544,486,66308,14870,4.8,5.4,8.8,9.0,10.4,16.9,14.3,17.1,7.3,6.1,16.30321569143396,12.574416998322535,30.81932704009473,69.09734784944467,5.476433246719074,1.3573221940817244,0.08332511,0.2280476707342477,5.024723437380083,18.73280049,15.156399039568464
